Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1,Precious Achiuwa\achiupr01,C,23,TOR,55,1140,15.2,0.554,0.267,0.307,9.3,24.4,16.3,6.3,1.3,2.6,11.4,19.4,,0.8,1.4,2.2,0.093,,-1.4,-0.8,-2.3,-0.1
2,Steven Adams\adamsst01,C,29,MEM,42,1133,17.5,0.564,0.004,0.49,20.1,25.3,22.7,11.2,1.5,3.7,19.8,14.6,,1.3,2.1,3.4,0.144,,-0.3,0.9,0.6,0.7
3,Bam Adebayo\adebaba01,C,25,MIA,75,2598,20.1,0.592,0.011,0.361,8.0,23.6,15.5,15.9,1.7,2.4,12.7,25.2,,3.6,3.8,7.4,0.137,,0.8,0.8,1.5,2.3
4,Ochai Agbaji\agbajoc01,SG,22,UTA,59,1209,9.5,0.561,0.591,0.179,3.9,6.9,5.4,7.5,0.6,1.0,9.0,15.8,,0.9,0.4,1.3,0.053,,-1.7,-1.4,-3.0,-0.3
5,Santi Aldama\aldamsa01,PF,22,MEM,77,1682,13.9,0.591,0.507,0.274,5.4,18.0,11.7,7.6,1.3,2.6,9.3,16.0,,2.1,2.4,4.6,0.13,,-0.3,0.8,0.5,1.1
6,Nickeil Alexander-Walker\alexani01,SG,24,TOT,59,884,11.6,0.565,0.539,0.203,1.9,10.5,6.3,16.7,1.7,2.0,14.6,17.9,,0.3,0.8,1.1,0.062,,-1.4,0.4,-0.9,0.2
6,Nickeil Alexander-Walker\alexani01,SG,24,UTA,36,528,13.0,0.609,0.512,0.229,1.7,10.3,6.0,19.9,2.2,2.2,19.4,18.4,,0.3,0.5,0.8,0.074,,-0.6,1.1,0.5,0.3
6,Nickeil Alexander-Walker\alexani01,SG,24,MIN,23,356,9.6,0.503,0.576,0.168,2.2,10.8,6.6,12.0,1.1,1.7,6.9,17.3,,0.0,0.3,0.3,0.044,,-2.5,-0.5,-3.0,-0.1
7,Grayson Allen\allengr01,SG,27,MIL,72,1972,12.3,0.612,0.657,0.226,3.4,9.0,6.3,10.9,1.5,0.6,10.5,14.6,,2.8,2.2,5.1,0.123,,-0.6,0.7,0.1,1.0
8,Jarrett Allen\allenja01,C,24,CLE,68,2220,19.9,0.67,0.016,0.353,11.7,23.6,17.7,7.5,1.2,3.5,11.4,16.4,,5.5,4.0,9.5,0.205,,1.3,1.0,2.4,2.4
9,Jose Alvarado\alvarjo01,PG,24,NOP,61,1310,11.8,0.525,0.505,0.164,2.4,9.8,6.1,19.9,2.5,0.7,13.4,19.8,,0.1,1.7,1.8,0.066,,-2.0,0.7,-1.2,0.3
10,Kyle Anderson\anderky01,PF,29,MIN,69,1957,14.8,0.583,0.212,0.275,3.8,16.9,10.5,22.6,1.9,2.8,15.7,14.4,,2.5,2.6,5.1,0.125,,0.2,2.3,2.5,2.2
11,Giannis Antetokounmpo\antetgi01,PF,28,MIL,63,2024,29.0,0.605,0.134,0.604,7.3,30.0,19.1,33.2,1.2,2.1,13.2,38.8,,4.9,3.7,8.6,0.204,,5.8,2.7,8.5,5.4
12,Thanasis Antetokounmpo\antetth01,PF,30,MIL,37,206,6.7,0.458,0.174,0.478,7.9,14.1,11.1,9.3,0.7,1.2,17.7,13.8,,-0.1,0.2,0.1,0.022,,-6.5,-1.1,-7.6,-0.3
13,Cole Anthony\anthoco01,PG,22,ORL,60,1552,16.0,0.57,0.338,0.279,3.4,17.6,10.5,22.9,1.2,1.9,11.7,21.5,,2.1,1.7,3.7,0.116,,0.7,0.5,1.2,1.3
14,OG Anunoby\anunoog01,SF,25,TOR,67,2386,14.6,0.586,0.415,0.189,4.2,12.1,7.9,8.0,2.7,2.0,12.1,19.5,,1.8,2.9,4.7,0.094,,-0.3,0.7,0.4,1.5
15,Ryan Arcidiacono\arcidry01,PG,28,TOT,20,172,2.7,0.351,0.622,0.0,0.0,10.0,5.0,16.9,1.4,0.0,15.9,11.1,,-0.2,0.1,-0.2,-0.043,,-7.3,-1.5,-8.8,-0.3
15,Ryan Arcidiacono\arcidry01,PG,28,NYK,11,26,3.1,0.3,0.6,0.0,0.0,17.0,8.4,9.3,3.8,0.0,16.7,9.9,,0.0,0.0,0.0,-0.012,,-8.9,3.8,-5.1,0.0
15,Ryan Arcidiacono\arcidry01,PG,28,POR,9,146,2.6,0.359,0.625,0.0,0.0,8.7,4.3,18.3,1.0,0.0,15.8,11.3,,-0.2,0.0,-0.1,-0.049,,-7.0,-2.4,-9.4,-0.3
16,Deni Avdija\avdijde01,SF,22,WAS,76,2020,11.2,0.535,0.401,0.285,4.2,21.9,13.4,13.9,1.6,1.2,15.9,16.7,,0.0,2.3,2.3,0.054,,-2.8,0.5,-2.3,-0.1
17,Deandre Ayton\aytonde01,C,24,PHO,67,2035,19.9,0.617,0.027,0.225,9.2,27.5,18.1,9.2,0.9,2.3,11.0,22.9,,3.3,3.0,6.2,0.147,,0.9,0.0,0.9,1.5
18,Udoka Azubuike\azubuud01,C,23,UTA,36,359,16.1,0.774,0.0,0.278,9.5,26.1,17.9,4.3,0.8,3.5,18.2,11.5,,0.6,0.4,1.0,0.134,,-1.2,0.5,-0.6,0.1
19,Marvin Bagley III\baglema01,C,23,DET,42,990,17.2,0.587,0.173,0.283,10.2,20.2,15.1,5.9,0.9,2.7,9.7,20.4,,1.3,0.7,2.0,0.095,,0.3,-1.2,-0.9,0.3
20,Patrick Baldwin Jr.\baldwpa01,SF,20,GSW,31,226,11.3,0.546,0.771,0.055,0.5,18.6,9.7,6.9,1.3,1.6,9.0,22.8,,-0.1,0.3,0.1,0.029,,-0.7,-1.4,-2.1,0.0
21,LaMelo Ball\ballla01,PG,21,CHO,36,1268,17.9,0.541,0.531,0.169,3.5,16.2,9.7,38.7,1.7,0.8,14.3,30.0,,0.6,1.2,1.8,0.068,,3.2,-0.8,2.4,1.4
22,Mo Bamba\bambamo01,C,24,TOT,49,769,15.7,0.602,0.515,0.257,8.5,24.2,16.4,8.7,0.8,5.3,10.1,16.6,,1.1,1.1,2.2,0.139,,-0.2,0.7,0.5,0.5
22,Mo Bamba\bambamo01,C,24,ORL,40,681,16.3,0.613,0.505,0.238,7.8,22.8,15.3,9.0,0.9,5.4,8.5,16.3,,1.2,0.9,2.1,0.15,,0.4,0.9,1.3,0.6
22,Mo Bamba\bambamo01,C,24,LAL,9,88,11.4,0.518,0.593,0.407,13.9,35.3,24.9,6.0,0.5,4.8,20.1,19.1,,-0.1,0.2,0.1,0.054,,-5.3,-0.2,-5.5,-0.1
23,Paolo Banchero\banchpa01,PF,20,ORL,72,2430,14.9,0.529,0.254,0.476,3.9,19.3,11.6,17.2,1.2,1.5,12.8,27.5,,-0.3,2.6,2.4,0.047,,-0.7,-0.7,-1.5,0.3
24,Desmond Bane\banede01,SG,24,MEM,58,1841,19.1,0.606,0.433,0.218,2.5,14.3,8.4,20.8,1.4,1.1,10.9,26.1,,3.5,2.3,5.8,0.151,,3.3,0.1,3.5,2.5
25,Dalano Banton\bantoda01,PG,23,TOR,31,279,14.9,0.505,0.392,0.185,4.2,14.9,9.1,19.3,2.3,4.5,11.4,24.2,,0.0,0.4,0.4,0.064,,-1.1,0.6,-0.5,0.1
26,Dominick Barlow\barlodo01,PF,19,SAS,28,408,12.4,0.567,0.047,0.291,11.9,15.6,13.7,7.6,1.2,3.8,13.4,11.3,,0.5,0.2,0.7,0.082,,-3.7,-0.8,-4.6,-0.3
27,Harrison Barnes\barneha02,PF,30,SAC,82,2662,14.1,0.632,0.446,0.522,3.8,11.9,7.9,6.3,1.0,0.3,8.1,17.1,,5.1,1.4,6.5,0.118,,0.5,-1.5,-1.0,0.7
28,Scottie Barnes\barnesc01,SF,21,TOR,77,2678,15.5,0.524,0.22,0.242,7.1,15.2,10.8,20.0,1.5,2.2,12.0,20.3,,2.3,2.7,5.0,0.09,,0.5,-0.1,0.4,1.6
29,RJ Barrett\barrerj01,SG,22,NYK,73,2475,12.9,0.531,0.332,0.333,2.7,13.7,8.2,12.4,0.6,0.6,10.8,26.2,,0.5,1.8,2.2,0.043,,-1.2,-1.9,-3.1,-0.7
30,Will Barton\bartowi01,SG,32,TOT,56,993,10.0,0.493,0.495,0.129,1.7,13.5,7.7,15.4,1.4,1.1,11.1,18.9,,-0.4,0.8,0.4,0.021,,-2.0,-0.6,-2.6,-0.2
30,Will Barton\bartowi01,SG,32,WAS,40,782,10.0,0.504,0.484,0.158,1.5,13.8,7.9,16.5,1.1,1.1,12.9,19.4,,-0.4,0.6,0.2,0.013,,-1.7,-0.9,-2.7,-0.1
30,Will Barton\bartowi01,SG,32,TOR,16,211,9.9,0.451,0.532,0.025,2.5,12.2,7.0,11.0,2.6,1.4,3.6,16.7,,0.0,0.2,0.2,0.051,,-2.9,0.5,-2.5,0.0
31,Charles Bassey\bassech01,C,22,SAS,35,508,18.8,0.658,0.059,0.274,15.5,26.4,20.7,12.9,1.5,5.4,21.3,15.6,,0.7,0.6,1.3,0.122,,-0.7,1.3,0.6,0.3
32,Keita Bates-Diop\bateske01,PF,27,SAS,67,1452,14.9,0.609,0.305,0.323,4.7,14.3,9.3,9.8,1.5,1.1,9.5,16.7,,2.1,0.6,2.7,0.089,,0.3,-0.9,-0.6,0.5
33,Nicolas Batum\batumni01,PF,34,LAC,78,1709,11.0,0.594,0.832,0.126,4.1,15.4,9.8,9.4,1.5,2.3,11.1,11.5,,1.7,1.9,3.6,0.101,,-0.8,1.2,0.5,1.0
34,Darius Bazley\bazleda01,C,22,TOT,43,616,13.1,0.524,0.29,0.383,5.8,18.5,12.1,8.3,1.7,5.1,11.2,16.4,,0.1,0.9,1.0,0.078,,-2.0,1.0,-1.0,0.2
34,Darius Bazley\bazleda01,C,22,OKC,36,555,12.9,0.525,0.285,0.411,5.5,18.3,11.8,7.6,1.6,4.8,10.5,15.7,,0.1,0.8,0.9,0.079,,-1.8,0.8,-1.0,0.1
34,Darius Bazley\bazleda01,C,22,PHO,7,61,15.5,0.515,0.32,0.2,8.9,20.4,14.5,14.5,2.4,7.3,15.5,22.5,,0.0,0.1,0.1,0.066,,-3.7,3.3,-0.4,0.0
35,Bradley Beal\bealbr01,SG,29,WAS,50,1673,19.7,0.593,0.249,0.26,2.8,9.9,6.5,26.6,1.3,1.7,12.9,29.2,,2.2,1.2,3.4,0.099,,2.9,-1.2,1.8,1.6
36,Malik Beasley\beaslma01,SG,26,TOT,81,2093,10.9,0.531,0.702,0.069,1.8,12.5,7.3,8.4,1.5,0.4,8.5,21.1,,-0.2,1.6,1.4,0.032,,-0.9,-1.0,-2.0,0.0
36,Malik Beasley\beaslma01,SG,26,UTA,55,1472,11.5,0.535,0.704,0.066,2.0,12.3,7.2,9.0,1.4,0.5,8.0,21.2,,0.3,1.0,1.2,0.04,,-0.4,-1.2,-1.6,0.2
36,Malik Beasley\beaslma01,SG,26,LAL,26,621,9.7,0.521,0.698,0.078,1.4,13.0,7.4,7.0,1.6,0.1,9.8,20.9,,-0.5,0.6,0.2,0.012,,-2.3,-0.6,-2.9,-0.1
37,MarJon Beauchamp\beaucma01,SF,22,MIL,52,701,8.2,0.513,0.584,0.152,5.9,11.0,8.5,6.7,1.4,0.8,14.8,18.3,,-0.4,0.8,0.4,0.027,,-4.1,-0.6,-4.8,-0.5
38,Dāvis Bertāns\bertada01,PF,30,DAL,45,492,11.9,0.618,0.881,0.094,2.3,10.3,6.3,6.2,1.1,1.5,5.7,16.2,,0.6,0.3,0.9,0.09,,0.0,-1.3,-1.2,0.1
39,Patrick Beverley\beverpa01,SG-PG,34,TOT,67,1816,8.9,0.534,0.664,0.181,2.7,12.0,7.5,13.3,1.7,2.0,13.4,10.6,,0.8,2.1,3.0,0.079,,-2.9,1.7,-1.2,0.3
39,Patrick Beverley\beverpa01,SG,34,LAL,45,1211,8.3,0.548,0.656,0.207,2.2,9.9,6.2,12.1,1.6,1.7,13.8,10.6,,0.5,1.3,1.8,0.071,,-3.2,1.4,-1.8,0.1
39,Patrick Beverley\beverpa01,PG,34,CHI,22,605,10.1,0.506,0.681,0.126,3.8,16.0,10.0,15.7,1.9,2.6,12.5,10.5,,0.3,0.9,1.2,0.096,,-2.4,2.2,-0.2,0.3
40,Saddiq Bey\beysa01,SF,23,TOT,77,2129,14.6,0.564,0.5,0.285,5.0,14.0,9.4,8.1,1.6,0.5,7.0,20.2,,2.6,1.2,3.9,0.087,,0.9,-1.2,-0.3,0.9
40,Saddiq Bey\beysa01,SF,23,DET,52,1500,14.3,0.552,0.483,0.345,4.2,13.9,8.9,8.5,1.6,0.7,7.2,21.3,,1.5,0.8,2.3,0.074,,0.5,-1.1,-0.7,0.5
40,Saddiq Bey\beysa01,SF,23,ATL,25,629,15.2,0.599,0.543,0.126,6.7,14.3,10.4,7.2,1.5,0.1,6.5,17.4,,1.1,0.5,1.6,0.119,,1.7,-1.2,0.5,0.4
41,Khem Birch\birchkh01,C,30,TOR,20,162,9.4,0.629,0.063,0.156,5.2,12.8,8.7,5.8,1.5,3.0,19.0,11.1,,0.1,0.2,0.2,0.072,,-4.6,1.1,-3.5,-0.1
42,Goga Bitadze\bitadgo01,C,23,TOT,38,457,17.1,0.582,0.208,0.336,15.0,18.7,16.8,12.1,1.7,5.3,13.3,15.4,,0.8,0.6,1.3,0.141,,-0.8,1.1,0.3,0.3
42,Goga Bitadze\bitadgo01,C,23,IND,21,202,13.9,0.551,0.269,0.462,13.8,13.2,13.5,12.1,2.1,4.3,16.1,15.5,,0.2,0.2,0.4,0.087,,-2.3,1.2,-1.1,0.0
42,Goga Bitadze\bitadgo01,C,23,ORL,17,255,19.7,0.606,0.164,0.247,15.9,23.1,19.5,12.2,1.3,6.1,11.0,15.3,,0.6,0.4,1.0,0.184,,0.4,1.0,1.3,0.2
43,Bismack Biyombo\biyombi01,C,30,PHO,61,874,14.4,0.555,0.0,0.34,11.0,22.1,16.5,8.7,1.0,9.0,17.7,14.0,,0.2,1.6,1.9,0.102,,-3.4,2.5,-0.9,0.2
44,Buddy Boeheim\boehebu01,SF,23,DET,10,90,0.5,0.287,0.926,0.074,2.4,5.1,3.7,5.8,1.1,0.0,0.0,13.2,,-0.2,0.0,-0.2,-0.091,,-7.5,-2.0,-9.5,-0.2
45,Bogdan Bogdanović\bogdabo01,SG,30,ATL,54,1508,14.2,0.586,0.589,0.126,1.6,10.4,6.0,13.4,1.4,1.0,9.2,19.8,,1.8,1.0,2.8,0.088,,1.1,-0.7,0.5,0.9
46,Bojan Bogdanović\bogdabo02,PF,33,DET,59,1893,17.4,0.627,0.4,0.344,2.0,11.3,6.5,13.6,0.9,0.4,11.7,25.9,,3.1,0.4,3.5,0.09,,2.6,-1.8,0.9,1.4
47,Bol Bol\bolbo01,PF,23,ORL,70,1505,14.4,0.603,0.236,0.226,5.2,25.3,15.2,6.9,1.0,5.5,17.6,18.2,,0.0,2.2,2.3,0.072,,-1.8,0.9,-0.9,0.4
48,Leandro Bolmaro\bolmale01,SF,22,UTA,14,68,-5.0,0.15,0.2,0.0,6.5,4.7,5.6,12.3,2.1,1.2,25.9,16.6,,-0.4,0.0,-0.3,-0.231,,-12.4,-2.3,-14.7,-0.2
49,Devin Booker\bookede01,SG,26,PHO,53,1835,22.0,0.601,0.296,0.336,2.7,12.0,7.2,27.3,1.4,0.9,10.6,31.8,,4.2,1.9,6.0,0.157,,4.5,-0.3,4.2,2.9
50,Brandon Boston Jr.\bostobr01,SF,21,LAC,22,248,13.4,0.515,0.238,0.311,3.2,10.3,6.8,12.5,1.8,0.0,8.0,26.5,,0.0,0.2,0.2,0.04,,-1.5,-0.7,-2.2,0.0
51,Chris Boucher\bouchch01,PF,30,TOR,76,1523,18.0,0.59,0.357,0.318,10.9,21.2,15.7,2.7,1.5,4.1,6.4,18.0,,3.0,2.0,5.0,0.156,,0.7,-0.8,-0.1,0.7
52,James Bouknight\bouknja01,SG,22,CHO,34,515,6.2,0.463,0.565,0.155,1.6,13.5,7.5,11.1,1.3,0.8,13.4,19.5,,-0.8,0.4,-0.4,-0.04,,-5.4,-1.1,-6.5,-0.6
53,Jamaree Bouyea\bouyeja01,PG,23,TOT,5,71,6.5,0.504,0.429,0.143,1.6,8.4,4.9,7.8,2.8,2.9,21.2,11.8,,-0.1,0.1,0.0,0.013,,-5.8,1.6,-4.2,0.0
53,Jamaree Bouyea\bouyeja01,PG,23,MIA,4,65,7.8,0.54,0.385,0.154,1.7,7.5,4.5,8.6,3.1,3.1,22.4,12.2,,-0.1,0.1,0.0,0.029,,-4.9,1.9,-2.9,0.0
53,Jamaree Bouyea\bouyeja01,PG,23,WAS,1,6,-6.9,0.0,1.0,0.0,0.0,17.9,9.3,0.0,0.0,0.0,0.0,7.2,,0.0,0.0,0.0,-0.15,,-16.1,-1.7,-17.8,0.0
54,Tony Bradley\bradlto01,C,25,CHI,12,33,21.7,0.69,0.417,0.333,3.5,33.8,18.9,4.4,1.5,2.9,6.8,19.8,,0.1,0.1,0.2,0.22,,4.4,0.5,4.9,0.1
55,Malaki Branham\branhma01,SG,19,SAS,66,1550,9.5,0.524,0.417,0.115,1.9,11.2,6.4,11.4,1.0,0.4,10.6,19.1,,-0.4,0.2,-0.1,-0.004,,-3.0,-2.1,-5.2,-1.3
56,Jarrell Brantley\brantja01,PF,26,UTA,4,39,18.5,0.739,0.643,0.143,2.8,13.7,8.3,11.4,0.0,4.3,11.8,18.1,,0.1,0.0,0.1,0.16,,3.1,0.4,3.5,0.1
57,Christian Braun\braunch01,SG,21,DEN,76,1181,10.3,0.568,0.332,0.221,4.8,12.6,8.8,6.4,1.7,1.3,9.9,13.0,,0.7,1.2,1.9,0.079,,-2.5,0.1,-2.4,-0.1
58,Mikal Bridges\bridgmi01,SF-SG,26,TOT,83,2963,16.8,0.587,0.349,0.279,2.9,10.8,6.8,13.7,1.5,1.8,8.2,22.6,,4.4,3.1,7.5,0.121,,1.5,0.2,1.7,2.8
58,Mikal Bridges\bridgmi01,SF,26,PHO,56,2040,14.8,0.574,0.342,0.228,3.0,10.4,6.6,14.1,1.6,2.0,8.5,19.2,,2.7,2.2,4.9,0.116,,0.4,0.6,1.0,1.6
58,Mikal Bridges\bridgmi01,SG,26,BRK,27,923,21.3,0.607,0.36,0.356,2.9,11.7,7.4,12.9,1.4,1.5,7.8,30.3,,1.7,0.8,2.5,0.133,,4.0,-0.8,3.3,1.2
59,Oshae Brissett\brissos01,PF,24,IND,65,1083,10.6,0.52,0.486,0.455,6.4,16.0,11.2,5.4,1.4,1.0,8.2,16.1,,0.4,0.7,1.1,0.05,,-2.0,-1.2,-3.2,-0.3
60,Malcolm Brogdon\brogdma01,PG,30,BOS,67,1744,18.2,0.615,0.406,0.251,2.7,14.7,8.8,21.5,1.3,0.9,10.8,22.8,,3.6,2.2,5.8,0.161,,2.3,0.6,2.8,2.1
61,Dillon Brooks\brookdi01,SF,27,MEM,73,2214,9.4,0.494,0.443,0.155,2.2,9.5,5.8,11.7,1.4,0.7,8.9,21.8,,-0.8,2.4,1.6,0.034,,-3.4,-0.5,-3.9,-1.1
62,Bruce Brown\brownbr01,SF,26,DEN,80,2280,13.3,0.571,0.343,0.206,3.3,13.0,8.3,15.7,1.9,2.0,13.2,17.8,,1.7,2.6,4.3,0.09,,-1.1,0.6,-0.5,0.9
63,Greg Brown III\browngr01,PF,21,POR,16,93,5.8,0.421,0.25,0.429,2.5,21.2,11.7,4.5,2.1,4.8,15.3,18.4,,-0.3,0.1,-0.1,-0.074,,-8.5,0.0,-8.5,-0.2
64,Jaylen Brown\brownja02,SF,26,BOS,67,2405,19.1,0.581,0.352,0.249,3.6,17.0,10.4,16.5,1.5,0.9,11.4,31.4,,1.6,3.4,5.0,0.1,,1.5,-0.2,1.3,2.0
65,Kendall Brown\brownke03,SG,19,IND,6,40,9.1,0.571,0.143,0.286,5.6,11.1,8.3,9.7,4.7,0.0,20.2,10.4,,0.0,0.1,0.1,0.071,,-7.0,4.0,-2.9,0.0
66,Moses Brown\brownmo01,C,23,TOT,36,294,22.2,0.607,0.0,0.75,22.0,30.9,26.5,2.1,0.7,4.2,10.5,21.2,,0.7,0.4,1.1,0.179,,0.6,-1.2,-0.6,0.1
66,Moses Brown\brownmo01,C,23,LAC,34,288,22.7,0.607,0.0,0.75,22.4,31.5,27.0,2.2,0.5,4.3,9.9,21.5,,0.7,0.4,1.1,0.185,,0.9,-1.3,-0.4,0.1
66,Moses Brown\brownmo01,C,23,BRK,2,6,-2.6,,,,0.0,0.0,0.0,0.0,8.1,0.0,100.0,7.4,,0.0,0.0,0.0,-0.129,,-12.7,2.8,-9.9,0.0
67,Sterling Brown\brownst02,SF,27,LAL,4,24,7.0,0.0,0.5,0.0,13.9,21.6,17.8,9.4,5.9,0.0,0.0,7.0,,0.0,0.1,0.0,0.04,,-7.7,4.3,-3.3,0.0
68,Troy Brown Jr.\browntr01,SF,23,LAL,76,1860,9.6,0.561,0.604,0.084,3.7,13.7,8.9,6.6,1.5,0.7,9.2,12.1,,1.0,2.0,2.9,0.075,,-1.8,0.8,-1.0,0.5
69,Jalen Brunson\brunsja01,PG,26,NYK,68,2379,21.2,0.597,0.269,0.328,1.8,9.3,5.6,28.7,1.3,0.6,9.4,27.2,,6.9,1.8,8.7,0.175,,4.4,-0.5,3.9,3.5
70,Thomas Bryant\bryanth01,C,25,TOT,59,1081,19.7,0.682,0.16,0.341,8.9,24.6,17.0,4.3,0.7,2.4,8.2,18.2,,2.7,1.4,4.1,0.183,,1.1,-0.5,0.6,0.7
70,Thomas Bryant\bryanth01,C,25,LAL,41,876,21.5,0.712,0.166,0.359,8.5,25.1,17.1,5.0,0.8,2.2,7.4,18.2,,2.7,1.2,3.8,0.211,,2.4,-0.1,2.3,0.9
70,Thomas Bryant\bryanth01,C,25,DEN,18,205,11.8,0.547,0.132,0.265,11.0,22.4,16.8,1.3,0.5,3.0,11.6,18.2,,0.0,0.2,0.3,0.066,,-4.4,-2.2,-6.6,-0.2
71,Reggie Bullock\bullore01,SF,31,DAL,78,2364,7.7,0.577,0.845,0.079,1.6,12.5,7.0,6.2,1.1,0.5,6.9,10.0,,1.3,1.4,2.8,0.056,,-2.3,-0.3,-2.6,-0.4
72,Alec Burks\burksal01,SG,31,DET,51,1122,16.5,0.602,0.521,0.41,1.8,14.2,7.8,15.9,1.6,0.6,9.7,22.8,,1.9,0.6,2.5,0.109,,1.8,-0.5,1.2,0.9
73,Deonte Burton\burtode02,PF,29,SAC,2,6,-12.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,,0.0,0.0,0.0,-0.347,,-13.9,-10.4,-24.2,0.0
74,Jared Butler\butleja02,PG,22,OKC,6,77,13.0,0.578,0.438,0.0,1.4,4.3,2.8,15.0,3.1,0.0,13.5,20.1,,0.0,0.1,0.1,0.061,,-2.2,-0.4,-2.6,0.0
75,Jimmy Butler\butleji01,PF,33,MIA,64,2138,27.6,0.647,0.116,0.625,7.5,13.3,10.3,27.1,2.7,1.0,8.2,25.6,,9.4,2.9,12.3,0.277,,6.7,2.0,8.7,5.8
76,John Butler\butlejo01,C,20,POR,19,221,5.7,0.411,0.66,0.075,1.5,7.3,4.4,6.5,1.5,3.6,1.8,11.0,,-0.1,0.1,0.0,0.001,,-5.4,-0.8,-6.2,-0.2
77,Jamal Cain\cainja01,PF,23,MIA,18,240,16.5,0.647,0.303,0.333,7.1,18.7,12.7,7.6,2.3,0.4,7.3,15.1,,0.5,0.3,0.8,0.169,,-0.5,1.3,0.8,0.2
78,Kentavious Caldwell-Pope\caldwke01,SG,29,DEN,76,2381,11.5,0.598,0.505,0.198,1.7,8.1,5.0,9.8,2.3,1.3,11.1,14.1,,2.0,2.5,4.5,0.091,,-1.6,0.6,-1.0,0.6
79,Facundo Campazzo\campafa01,PG,31,DAL,8,52,7.8,0.36,0.846,0.154,0.0,4.5,2.2,22.6,5.7,0.0,17.8,14.7,,-0.1,0.1,0.0,-0.012,,-4.8,3.6,-1.2,0.0
80,Vlatko Čančar\cancavl01,PF,25,DEN,60,889,11.0,0.606,0.507,0.181,3.2,13.1,8.3,11.5,1.2,1.4,13.1,13.8,,0.9,0.8,1.7,0.093,,-1.7,-0.1,-1.8,0.0
81,Clint Capela\capelca01,C,28,ATL,65,1730,22.1,0.656,0.002,0.244,16.1,29.4,22.7,4.7,1.2,3.9,8.3,15.7,,4.9,2.4,7.2,0.201,,2.3,-0.1,2.2,1.8
82,Vernon Carey Jr.\careyve01,C,21,WAS,11,28,10.8,0.338,0.0,0.25,12.4,30.6,21.8,13.3,3.5,6.0,18.4,16.9,,-0.1,0.1,0.0,0.014,,-7.1,2.1,-5.0,0.0
83,Jevon Carter\carteje01,PG,27,MIL,81,1810,10.9,0.56,0.596,0.067,2.1,9.3,5.8,14.5,1.7,1.3,11.8,15.3,,1.2,2.3,3.5,0.092,,-1.9,1.2,-0.6,0.6
84,Wendell Carter Jr.\cartewe01,C,23,ORL,57,1690,17.3,0.621,0.367,0.318,8.0,25.3,16.6,12.0,0.9,1.9,13.2,20.5,,2.6,2.0,4.6,0.13,,0.9,0.1,1.0,1.3
85,Michael Carter-Williams\cartemi01,PG,31,ORL,4,44,9.0,0.498,0.214,0.5,2.6,10.3,6.4,22.6,1.1,2.2,19.0,20.6,,0.0,0.0,0.0,-0.003,,-5.1,-1.2,-6.3,0.0
86,Alex Caruso\carusal01,PG,28,CHI,67,1575,11.5,0.588,0.528,0.255,3.1,10.9,7.1,15.4,3.0,2.8,19.5,11.1,,1.0,2.6,3.6,0.109,,-2.2,3.3,1.1,1.2
